Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
INDOWESTERN-756[34],,INDOWESTERN,RENT,BLUE,34,3500,,,1,BLUE SYMBOL,,AVAILABLE
INDOWESTERN-757[36],,INDOWESTERN,RENT,BLUE,36,3500,,,1,BLUE SYMBOL,,AVAILABLE
INDOWESTERN-760[40],,INDOWESTERN,RENT,BLUE,40,3500,,,1,BLUE SYMBOL,,AVAILABLE
INDOWESTERN-761[38],,INDOWESTERN,RENT,WHITE,38,3500,,,1,WHITE SYMBOL,,AVAILABLE
INDOWESTERN-764[38],,INDOWESTERN,RENT,GULABI,38,3500,,,1,GULABI SYMBOL,,AVAILABLE
INDOWESTERN-765[36],,INDOWESTERN,RENT,GULABI,36,3500,,,1,GULABI SYMBOL,,AVAILABLE
SERVANI-766[34],,SERVANI,RENT,WHITE,34,4500,,,1,WHITE GULABI LAKHANAVI,,AVAILABLE
INDOWESTERN-767[38],,INDOWESTERN,RENT,GULABI,38,5000,,,1,GULABI KOTTI PATERN,,AVAILABLE
INDOWESTERN-768[36],,INDOWESTERN,RENT,WHITE,36,3500,,,1,WHITE SYMBOL,,AVAILABLE
INDOWESTERN-779[38],,INDOWESTERN,RENT,BLUE,38,3500,,,1,BLUE SYMBOL,,AVAILABLE
SERVANI-775[34],,SERVANI,RENT,WHITE,34,4500,,,1,WHITE GULABI AMRODARY,,AVAILABLE
INDOWESTERN-776[36],,INDOWESTERN,RENT,BLUE,36,3500,,,1,BLUE KOTTI AMRODARY,,AVAILABLE
SERVANI-778[36],,SERVANI,RENT,WHITE,36,4500,,,1,WHITE GULABI TACHAP,,AVAILABLE
SERVANI-779[36],,SERVANI,RENT,WHITE,36,4500,,,1,OFF WHITE GULABI,,AVAILABLE
INDOWESTERN-780[40],,INDOWESTERN,RENT,WHITE,40,3500,,,1,WHITE SYMBOL,,AVAILABLE
SERVANI-783[38],,SERVANI,RENT,WHITE,38,4500,,,1,WHITE GULABI LAKHANAVI,,AVAILABLE
INDOWESTERN-784[36],,INDOWESTERN,RENT,PURPLE,36,3500,,,1,PURPLE KOTTI PATERN,,AVAILABLE
SERVANI-785[34],,SERVANI,RENT,PICH,34,4500,,,1,GULABI ZORZATT,,AVAILABLE
INDOWESTERN-790[36],,INDOWESTERN,RENT,MARUN,36,3500,,,1,MARUN KOTTI PATERN,,AVAILABLE
INDOWESTERN-792[36],,INDOWESTERN,RENT,MARUN,36,3500,,,1,MARUN KOTTI PATERN,,AVAILABLE
INDOWESTERN-794[40],,INDOWESTERN,RENT,PURPLE,40,3500,,,1,PURPLE KOTTI PATERN,,AVAILABLE
INDOWESTERN-798[38],,INDOWESTERN,RENT,MARUN,38,3500,,,1,MARUN KOTTI PATERN,,AVAILABLE
SERVANI-805[40],,SERVANI,RENT,CREAM,40,4500,,,1,CREAM GULABI AMRODARY,,AVAILABLE
INDOWESTERN-808[32],,INDOWESTERN,RENT,WHITE,32,5000,,,1,WHITE KOTTI PATERN,,AVAILABLE
SERVANI-809[38],,SERVANI,RENT,WHITE,38,4500,,,1,WHITE GULABI TACHAP,,AVAILABLE
INDOWESTERN-810[34],,INDOWESTERN,RENT,WHITE,34,4000,,,1,WHITE GULABI KOTTI,,AVAILABLE
INDOWESTERN-812[32],,INDOWESTERN,RENT,GULABI,32,3500,,,1,GULABI SYMBOL,,AVAILABLE
INDOWESTERN-816[46],,INDOWESTERN,RENT,MARUN,46,3500,,,1,MARUN SYMBOL,,AVAILABLE
SERVANI-817[34],,SERVANI,RENT,WHITE,34,4500,,,1,COFFEE WHITE MARUN ,,AVAILABLE
INDOWESTERN-818[34],,INDOWESTERN,RENT,BLUE,34,3500,,,1,BLUE AMRODARY KOTTI PATERN,,AVAILABLE
SERVANI-819[38],,SERVANI,RENT,PICH,38,10000,,,1,GULABI KASHAB WORK,,AVAILABLE
SERVANI-821[36],,SERVANI,RENT,RANI ,36,4500,,,1,RANI GULABI TACHAP,,AVAILABLE
INDOWESTERN-822[34],,INDOWESTERN,RENT,MOR-PICH,34,3500,,,1,MOR-PICH KOTTI,,AVAILABLE
SERVANI-824[42],,SERVANI,RENT,CREAM,42,4500,,,1,CREAM PICH FULVALI,,AVAILABLE
INDOWESTERN-825[40],,INDOWESTERN,RENT,WHITE,40,3500,,,1,WHITE KOTTI PATERN,,AVAILABLE
INDOWESTERN-826[38],,INDOWESTERN,RENT,BLUE,38,3500,,,1,BLUE KOTTI AMRODARY,,AVAILABLE
INDOWESTERN-833[46],,INDOWESTERN,RENT,MARUN,46,3500,,,1,MARUN SYMBOL,,AVAILABLE
